"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12815","Retrieve details of a specific product by ID.","","2026-04-20","passed","2026-04-20","","com.example.tests.ProductTests","com.example.tests.ProductTests","getProductById"
"","532","Delete a specific user by ID.","","2026-04-20","passed","2026-04-20","","com.example.tests.UserTests","com.example.tests.UserTests","deleteUser"
"","751","Retrieve details of a specific user by ID.","","2026-04-20","passed","2026-04-20","","com.example.tests.UserTests","com.example.tests.UserTests","getUserById"
"","702","Retrieve a list of all available products.","","2026-04-20","passed","2026-04-20","","com.example.tests.ProductTests","com.example.tests.ProductTests","getAllProducts"
"","564","Update an existing user by ID.","","2026-04-20","passed","2026-04-20","","com.example.tests.UserTests","com.example.tests.UserTests","updateUser"
"","1651","Verify user login and retrieval of authentication token.","","2026-04-20","passed","2026-04-20","","com.example.tests.AuthTests","com.example.tests.AuthTests","userLogin"
"","541","Create a new product.","","2026-04-20","passed","2026-04-20","","com.example.tests.ProductTests","com.example.tests.ProductTests","addProduct"
"","661","Delete a specific product by ID.","","2026-04-20","passed","2026-04-20","","com.example.tests.ProductTests","com.example.tests.ProductTests","deleteProduct"
"","710","Create a new user.","","2026-04-20","passed","2026-04-20","","com.example.tests.UserTests","com.example.tests.UserTests","addUser"
"","692","Retrieve a list of all users.","","2026-04-20","passed","2026-04-20","","com.example.tests.UserTests","com.example.tests.UserTests","getAllUsers"
"","2244","Update an existing product by ID.","","2026-04-20","passed","2026-04-20","","com.example.tests.ProductTests","com.example.tests.ProductTests","updateProduct"
